Source,Target
832361,1565437
1565437,52112257
52112257,335021996291
335021996291,15203906741
0,1
1,4
4,26
26,241
241,2947
2947,45248
45248,843732
843732,18661671
18661671,481146211
481146211,14268787628
14268787628,481575324194
481575324194,18335512686481
18335512686481,781646971249603
781646971249603,37063676993936908
37063676993936908,1943284729431092340
1943284729431092340,112059055358657319023
112059055358657319023,7072342296849963327347
7072342296849963327347,486361147949618853157892
3,2
2,17
17,10
10,8
8,1
1,74
74,58
58,9
9,88
88,4
4,28
28,25
25,36
36,16
16,400
400,49
49,784
784,169
169,196
196,217
217,1240
1240,4900
4900,1681
1681,47128
47128,14392
14392,625
625,1296
1296,844
844,45889
45889,99148
99148,21592
21592,15376
15376,31684
31684,21904
21904,289
289,11449
11449,196249
196249,7609
7609,21316
21316,3721
3721,167104
167104,573049
1,0
2,0
2,1
2,2
3,0
0,3
2,5
5,10
10,14
14,29
29,40
40,47
47,184
184,191
191,422
422,640
640,689
689,1107
1107,2512
2512,3125
3125,3737
3737,3754
3754,5330
5330,5336
5336,5394
5394,5473
5473,12014
12014,12577
12577,12707
12707,30828
30828,30844
30844,35755
35755,35761
35761,39624
39624,39686
39686,39690
39690,40584
40584,40977
40977,41039
41039,41055
2,9
9,71
71,6148
5,15
15,31
31,51
51,75
75,109
109,142
142,293
293,348
348,408
408,477
477,597
597,691
691,1128
1128,1312
1312,1783
1783,1978
1978,2151
2151,2329
2329,3581
3581,4249
4249,4556
0,4
4,2
0,5
15,2
0,18
18,69
69,21
21,3
3,1
0,33
33,401
401,138
138,31
31,3
0,67
67,2335
2335,1133
1133,231
231,40
40,4
4,1
0,82
82,13976
13976,8904
8904,2055
2055,338
338,53
53,4
0,129
129,84367
84367,71880
71880,17791
17791,3343
3343,502
502,65
65,5
5,1
0,190
190,511595
511595,573917
573917,156444
156444,31348
31348,5272
5272,684
684,81
81,5
5,18
18,33
33,67
67,82
82,129
129,190
190,278
278,365
365,450
450,483
483,479
479,455
455,422
422,356
356,284
284,208
208,138
138,72
72,28
28,8
1,1235
1235,469
469,118
118,21
21,2
18,20
20,28
28,32
32,44
44,45
45,50
50,52
52,63
63,68
68,75
75,76
76,92
92,98
98,99
99,116
116,117
117,124
124,147
147,148
148,153
153,164
164,171
171,172
172,175
175,188
188,207
207,212
212,236
236,242
242,243
243,244
244,245
245,261
261,268
268,275
275,279
279,284
284,292
292,316
316,325
325,332
332,333
333,338
338,356
356,363
363,369
369,387
387,388
388,404
404,412
412,423
423,425
425,428
7,9
9,14
14,18
18,29
29,58
58,8653
8653,16288
16288,17306
17306,20360
20360,24432
24432,30540
30540,33550337
33550337,67100674
67100674,137438691329
137438691329,183248814085
183248814085,274877382658
274877382658,274877415424
274877415424,275951155328
275951155328,292057253888
292057253888,293198102536
293198102536,343596769280
343596769280,344938944160
344938944160,365071567360
365071567360,366497628170
366497628170,412316123136
412316123136,413926732992
1,-2
-2,1
1,12
12,-9
-9,2
2,-24
-24,22
22,-8
-8,1
1,720
720,-750
-750,350
350,-75
-75,6
6,-1440
-1440,1644
1644,-900
-900,255
255,-36
-36,2
2,60480
60480,-74088
-74088,45472
45472,-15435
-15435,2940
2940,-294
-294,12
12,-120960
-120960,156816
156816,-105056
-105056,40614
40614,-9408
-9408,1288
1288,-96
-96,3
3,3628800
3628800,-4931280
-4931280,3543720
3543720,-1513890
-1513890,404082
404082,-68040
-68040,7020
7020,-405
-405,10
1,7
9,23
23,43
43,95
95,146
146,281
281,423
423,741
741,1184
1184,3320
3320,5384
5384,8968
8968,14043
14043,22405
22405,33973
33973,49461
49461,76861
76861,109297
109297,425008
425008,620743
620743,881518
881518,1222033
1222033,2034005
2034005,2784007
2784007,4448962
4448962,6011897
6011897,7983592
7983592,10438957
10438957,13461482
13461482,67294030
67294030,113539783
113539783,150668914
150668914,197338422
2,4
4,7
7,12
12,22
22,42
42,80
80,152
152,292
292,568
568,1112
1112,2184
2184,4304
4304,8512
8512,16880
16880,33536
33536,66720
66720,132896
132896,264960
264960,528640
528640,1055296
1055296,2107520
2107520,4210304
4210304,8413312
8413312,16815360
16815360,33613312
33613312,67199744
67199744,134358016
134358016,268652032
268652032,537205248
537205248,1074257920
1074257920,2148280320
2148280320,4296197120
4296197120,8591833088
20,24
24,28
28,40
40,44
45,48
48,50
52,54
54,56
60,63
76,80
84,88
88,90
90,92
92,96
96,98
99,104
104,112
112,116
117,120
120,124
124,126
132,135
135,136
136,140
140,147
148,150
150,152
152,153
153,156
156,160
160,162
162,164
164,168
168,171
175,176
176,184
184,188
188,189
189,192
204,207
180,252
252,300
300,396
396,450
468,588
588,612
612,684
684,700
700,720
720,828
828,882
882,980
980,1008
1008,1044
1044,1080
1080,1100
1100,1116
1116,1200
1200,1260
1260,1300
1300,1332
1332,1452
1452,1476
1476,1512
1512,1548
1548,1575
1575,1584
1584,1620
1620,1692
1692,1700
1700,1872
1872,1900
1900,1908
1908,1980
1980,2028
2028,2100
2100,2124
2124,2156
2156,2178
2178,2196
2196,2205
2205,2268
2268,2300
2300,2340
7,3
3,3
5,0
5,5
5,3
9,0
0,7
7,6
6,3
1,9
9,1
0,6
6,5
5,4
4,4
7,4
4,0
6,0
7,2
4,3
9,4
1,8
4,6
7,5
6,1
4,9
9,5
6,6
6,8
9,8
1,5
5,8
2,8
8,0
0,9
9,6
8,6
9,3
8,8
5,2
5,7
3,6
6,4
1,6
9,7
0,8
5,9
7,0
7,7
6,9
7,1
4,8
9,2
9,9
8,2
6,2
3,9
8,4
8,7
5,22
22,122
122,758
758,5047
5047,35208
35208,253998
253998,1879438
1879438,14185171
14185171,108782518
108782518,845210808
845210808,6639273704
6639273704,52638802244
52638802244,420681902896
420681902896,3385389615846
3385389615846,27409394579262
27409394579262,223110429785275
223110429785275,1824795182575650
1824795182575650,14988782110022490
14988782110022490,123592674062444070
123592674062444070,1022669887394585295
10,108
108,1840
1840,43000
43000,1279584
1279584,46291280
46291280,1972707328
1972707328,96793120800
96793120800,5374542400000
5374542400000,333181247151808
333181247151808,22810832109895680
22810832109895680,1709414039122395008
1709414039122395008,139174640542003978240
139174640542003978240,12233003976328500000000
12233003976328500000000,1154537363767101233299456
1154537363767101233299456,116449585838640863629672960
116449585838640863629672960,12500573099908938063034318848
2,20
20,402
402,14440
14440,825502
825502,69055260
69055260,7960285802
7960285802,1209873974480
1209873974480,234448151125302
234448151125302,56417251454964100
56417251454964100,16505720342583584002
16505720342583584002,5769709002698488056120
5769709002698488056120,2374912196964447662397902
2374912196964447662397902,1136971635340516657677122540
1136971635340516657677122540,626396259991436867435034799002
626396259991436867435034799002,393496705321944744069823217875360
3,16
16,6
6,39
39,10
10,76
76,15
15,130
130,21
21,204
204,28
28,301
301,36
36,424
424,45
45,576
576,55
55,760
760,66
66,979
979,78
78,1236
1236,91
91,1534
1534,105
105,1876
1876,120
120,2265
2265,136
136,2704
2704,153
153,3196
3196,171
171,3744
3744,190
190,4351
4351,210
210,5020
5020,231
231,5754
5754,253
253,6556
6556,276
276,7429
7429,300
300,8376
8376,325
325,9400
9400,351
351,10504
10504,378
378,11691
6,66
66,1180
1180,31505
31505,1182816
1182816,59649912
59649912,3898227320
3898227320,320811155667
320811155667,32484285866830
32484285866830,3970442333985798
3970442333985798,576519906840097584
576519906840097584,98114412012247145164
98114412012247145164,19345043177513116273952
19345043177513116273952,4374978683118395206019280
4374978683118395206019280,1124998536966973517751588592
1124998536966973517751588592,326400398540961682716386832439
8,3
17,22
26,29
29,31
35,41
41,43
43,44
44,47
51,52
52,53
53,58
62,65
65,67
67,68
68,69
69,71
71,77
77,79
79,83
87,88
88,89
89,94
94,97
97,98
98,101
101,103
103,104
104,105
105,106
106,107
107,113
113,115
115,116
116,119
119,121
121,122
122,123
123,124
124,125
125,130
130,131
131,134
134,137
137,139
5,14
14,24
24,32
32,25
25,13
13,5
8,10
11,12
12,14
17,20
20,22
22,24
24,26
26,28
33,36
36,40
44,48
48,52
52,55
55,61
61,66
66,70
70,75
75,83
83,89
89,97
97,105
105,112
112,119
119,127
127,138
138,149
149,160
160,171
171,183
183,198
198,211
211,225
225,240
240,257
257,274
274,295
295,313
313,335
335,358
358,380
380,406
406,432
432,459
459,490
10,10
12,15
21,23
25,29
30,33
33,37
37,40
40,43
43,47
47,51
51,55
61,65
65,71
77,83
97,103
103,112
112,122
122,131
131,141
141,151
151,161
161,173
173,188
188,199
199,214
214,230
230,247
247,264
264,282
282,300
300,320
320,344
344,366
366,391
391,417
417,445
445,474
474,505
10,12
15,17
17,21
23,29
29,33
33,38
38,43
43,52
52,58
58,67
67,75
75,88
88,98
98,114
114,125
125,144
144,161
161,182
182,203
203,232
232,255
255,287
287,318
318,359
359,396
396,444
444,487
487,546
546,602
602,668
668,733
733,817
817,895
895,991
991,1086
1086,1199
1199,1312
1312,1447
1447,1579
1579,1739
1739,1898
1898,2082
2082,2268
2268,2491
2491,2707
2707,2959
2959,3220
3220,3517
3517,3822
9,11
11,15
17,23
23,26
26,34
34,37
37,47
47,53
53,65
71,87
87,96
96,116
116,126
126,149
149,164
164,195
195,211
211,246
246,270
270,312
312,339
339,393
393,427
427,489
489,532
532,604
604,660
660,749
749,810
810,915
915,997
997,1120
1120,1213
1213,1361
1361,1475
1475,1648
1648,1789
1789,1985
1985,2154
2154,2394
2394,2587
2587,2863
2863,3103
3103,3422
3422,3700
3700,4080
4080,4409
4409,4845
4845,5234
1,220
220,24415
24415,916090
916090,19289361
19289361,273643776
273643776,2881521541
2881521541,23968134480
23968134480,164468815940
164468815940,961160989052
961160989052,4900811504446
4900811504446,22217385708882
22217385708882,90911360810270
90911360810270,339921510938400
339921510938400,1173259864289798
1173259864289798,3770315057917136
3770315057917136,11362774353741843
11362774353741843,32316372128276860
32316372128276860,87203895473415945
87203895473415945,224319317780786074
211,233
233,277
277,383
383,409
409,443
443,463
463,479
479,499
499,521
521,541
541,563
563,607
607,613
613,631
631,653
653,673
673,677
677,743
743,761
761,787
787,809
809,811
811,827
827,829
829,839
839,853
853,877
877,883
883,887
887,919
919,929
929,937
937,947
947,983
983,1009
1009,1019
1019,1031
1031,1033
1033,1039
1039,1049
1049,1051
1051,1061
1061,1063
1063,1069
1069,1093
1093,1097
1097,1103
1103,1117
1117,1123
1123,1151
1151,1171
1171,1213
1213,1231
1231,1237
21,7
7,43
43,21
21,43
21,111
111,21
21,157
157,43
43,73
73,73
73,273
273,43
43,343
343,73
73,157
157,111
111,507
507,73
73,421
421,157
157,343
343,157
157,813
813,73
73,931
931,273
273,421
421,273
273,601
601,157
157,1333
1333,343
343,601
601,273
273,1641
1641,157
157,1807
1807,421
421,601
601,507
507,2163
2163,273
273,1807
421,1057
1057,601
601,2757
2757,343
343,1641
1641,601
601,1333
1333,813
813,3423
12,360
360,23920
23920,3038275
3038275,661613616
661613616,227993931326
227993931326,117074972668864
117074972668864,85514867404374267
85514867404374267,85632409776358310300
85632409776358310300,114090874349629345407646
114090874349629345407646,197297302443962466857375808
197297302443962466857375808,433713210324225209948611599324
433713210324225209948611599324,1190651062684690034955587638650576
0,39
39,69
69,105
105,225
240,264
264,276
276,321
321,342
351,354
354,357
357,366
366,390
390,393
393,399
399,462
462,465
465,492
492,522
525,537
537,585
585,621
621,660
660,690
690,702
702,738
738,747
747,753
753,759
759,765
765,777
777,789
789,792
792,798
798,804
804,807
807,816
816,828
828,837
837,849
849,855
855,858
858,861
861,867
867,873
873,876
876,906
906,909
909,924
924,933
933,963
963,990
990,999
999,1005
1005,1029
1029,1035
15,8
8,14
14,9
9,13
13,10
12,11
11,31
31,16
16,30
30,17
17,29
29,18
18,28
28,19
19,27
27,20
20,26
26,21
21,25
25,22
24,23
23,63
63,32
32,62
62,33
33,61
61,34
34,60
60,35
35,59
59,36
36,58
58,37
37,57
57,38
38,56
56,39
39,55
55,40
40,54
54,41
41,53
53,42
42,52
52,43
43,51
51,44
44,50
50,45
45,49
49,46
46,48
48,47
47,127
127,64
64,126
9,12
15,18
18,22
22,28
28,35
35,42
42,49
49,60
60,72
72,85
85,101
101,119
119,140
140,163
163,192
192,223
223,259
259,300
300,347
347,401
401,461
461,530
530,607
607,695
695,793
793,905
905,1030
1030,1171
1171,1329
1329,1507
1507,1704
1704,1926
1926,2173
2173,2449
2449,2759
2759,3103
3103,3485
3485,3909
3909,4383
4383,4906
4906,5488
5488,6131
6131,6844
6844,7635
7635,8508
7,11
13,15
15,19
19,25
25,30
30,36
36,43
52,62
62,74
74,88
88,105
105,122
122,143
143,168
168,196
196,228
228,264
264,307
307,354
354,408
408,468
468,537
537,616
616,705
705,803
803,916
916,1043
1043,1185
1185,1343
1343,1521
1521,1719
1719,1943
1943,2192
2192,2471
2471,2783
2783,3126
3126,3509
3509,3937
3937,4411
4411,4937
4937,5520
5520,6167
6167,6883
6883,7677
6,12
12,10
10,6
6,15
15,13
13,8
8,17
17,15
15,10
10,19
19,19
19,14
14,22
22,22
22,16
16,27
27,25
25,20
20,32
32,29
29,23
23,37
37,36
36,27
27,43
43,42
42,31
31,50
50,49
49,39
39,56
56,57
57,45
45,64
64,66
66,53
53,77
14,10
10,15
15,14
14,17
17,18
18,17
19,22
22,21
21,26
26,22
28,27
27,31
31,33
33,32
32,35
35,39
39,39
39,46
46,41
41,50
50,48
48,55
57,57
57,61
61,67
67,67
67,77
77,71
71,83
83,82
82,90
90,95
95,95
95,102
102,109
109,111
111,123
8,13
13,17
29,36
51,60
60,69
69,81
81,92
92,106
106,119
119,134
134,149
149,166
166,182
182,200
10,13
13,16
16,19
19,23
23,27
27,32
41,45
45,52
52,57
8,11
19,24
24,30
8,12
12,20
32,48
48,72
72,112
112,176
176,272
272,416
416,640
640,992
992,1536
1536,2368
2368,3648
3648,5632
5632,8704
8704,13440
13440,20736
20736,32000
32000,49408
49408,76288
76288,117760
117760,181760
181760,280576
280576,433152
433152,668672
668672,1032192
1032192,1593344
1593344,2459648
2459648,3796992
3796992,5861376
5861376,9048064
9048064,13967360
13967360,21561344
21561344,33284096
33284096,51380224
0,27
27,51
51,72
72,147
147,156
156,198
198,246
246,126
126,252
252,294
294,249
249,282
282,282
282,273
273,270
270,282
282,267
267,321
321,327
327,336
336,396
396,324
324,414
414,318
318,375
375,519
519,510
510,498
498,651
651,651
651,405
405,429
429,708
708,483
483,564
564,690
690,420
420,375
375,729
729,729
729,603
603,639
639,336
336,660
660,567
567,759
759,375
375,579
579,618
618,645
645,621
621,633
633,708
708,666
666,507
507,672
672,423
423,954
72,108
108,200
200,288
288,392
392,432
432,500
500,648
648,675
675,800
800,864
864,968
968,972
972,1125
1125,1152
1152,1323
1323,1352
1352,1372
1372,1568
1568,1944
1944,2000
2000,2312
2312,2592
2592,2888
2888,3087
3087,3200
3200,3267
3267,3456
3456,3872
3872,3888
3888,4000
4000,4232
4232,4563
4563,4608
4608,5000
5000,5324
5324,5408
5408,5488
5488,6075
6075,6125
6125,6272
6272,6728
6728,6912
6912,7688
7688,7803
7803,8575
1800,2700
2700,3528
3528,4500
4500,5292
5292,5400
5400,7200
7200,8712
8712,9000
9000,9800
9800,10584
10584,10800
10800,12168
12168,12348
12348,13068
13068,13500
13500,14112
14112,16200
16200,18000
18000,18252
18252,20808
20808,21168
21168,24200
24200,24300
24300,24500
24500,24696
24696,25992
25992,26136
26136,28800
28800,31212
31212,31752
31752,33075
33075,33800
33800,34300
34300,34848
34848,36504
36504,37044
37044,38088
38088,38988
156,231
231,246
645,642
642,633
672,873
873,954
28,88
88,1808
1808,3640
3640,4672
4672,189696
189696,969024
969024,1106560
1106560,454144
454144,30500608
30500608,283202304
283202304,768866560
768866560,608608000
608608000,70084096
70084096,7023401984
7023401984,102145838080
102145838080,482087237632
482087237632,874291658240
874291658240,528271744000
528271744000,15728822272
15728822272,2198253613056
2198253613056,45907596773376
45907596773376,328529466417152
328529466417152,1007419817564160
1007419817564160,1361675399884800
1361675399884800,664565853952000
5,13
13,43
43,193
193,1193
1193,9719
9719,101501
101501,1321079
1321079,20850611
20850611,390386683
390386683,8516100623
8516100623,213261497387
213261497387,6055326082297
6055326082297,192920799371107
1,11
11,841
841,163331
163331,59300881
59300881,34607933051
34607933051,29622991596121
29622991596121,34960725099878771
34960725099878771,54409143662185942561
54409143662185942561,107962652112389405472491
107962652112389405472491,266034137928737581433956201
266034137928737581433956201,797002298200706936361093226211
797002298200706936361093226211,2852849622586360053132566844053041
2852849622586360053132566844053041,12024650581379112769869212875501891931
10,2
5,12
12,3
7,15
15,3
9,17
17,5
11,20
20,5
14,23
23,7
7,17
17,26
26,9
9,20
20,31
31,11
11,23
23,36
36,14
14,28
28,41
41,17
17,31
31,48
48,20
20,38
38,54
54,23
23,44
44,63
63,28
28,51
51,71
71,31
31,59
59,82
82,38
38,68
68,90
10,9
15,15
15,9
9,16
18,13
13,18
18,23
23,20
20,17
21,27
27,26
26,19
19,28
32,31
31,23
23,33
33,40
40,34
34,30
30,39
39,47
47,41
41,36
12,9
11,9
14,12
12,17
17,13
20,13
13,23
20,20
20,23
23,17
29,26
22,29
29,24
24,33
6,11
11,4
8,15
15,4
4,11
15,6
11,17
17,6
14,21
21,8
15,23
23,8
8,18
18,24
24,11
20,29
29,11
11,22
22,31
13,13
17,16
19,20
23,23
27,28
28,33
32,37
38,44
52,60
60,60
60,67
69,79
81,89
89,93
93,103
103,106
106,117
117,121
121,134
134,138
138,152
152,158
158,173
173,179
179,194
194,203
203,221
221,229
229,248
248,259
259,282
282,292
292,315
315,329
329,354
354,368
7,10
14,14
14,16
22,25
25,25
33,35
35,38
38,42
42,44
56,58
58,63
63,70
70,74
74,80
80,88
88,93
93,102
102,111
111,118
118,126
126,138
138,145
145,157
157,171
171,180
180,194
194,211
211,224
224,238
238,256
256,271
271,291
291,314
314,333
333,356
356,379
379,402
402,429
429,461
461,486
486,517
517,552
552,584
584,622
29,32
32,39
46,50
50,60
63,73
73,77
77,90
95,109
109,118
118,135
135,143
143,161
161,175
175,197
197,211
211,237
237,256
256,286
286,303
303,340
340,365
365,406
406,438
438,480
480,516
516,570
570,609
609,668
668,718
718,788
788,845
845,925
925,992
992,1082
1082,1153
1153,1257
1257,1349
1349,1469
1469,1570
11,14
24,27
31,34
34,41
45,53
53,60
60,68
68,77
77,89
89,99
99,110
110,125
125,138
138,155
155,175
175,191
191,212
236,260
260,288
288,320
320,350
350,387
387,425
425,468
468,512
512,567
567,617
617,679
679,745
745,814
814,887
887,974
974,1058
1058,1160
1160,1263
1263,1376
1376,1494
1494,1632
1632,1769
1769,1922
1922,2086
2086,2262
12,12
12,13
16,18
18,19
31,31
31,36
37,39
39,42
42,45
50,53
53,56
56,59
59,63
63,67
67,72
72,76
76,81
81,87
87,94
94,98
98,104
104,111
111,116
116,124
124,133
133,141
141,149
11,10
13,20
18,18
18,21
29,29
33,33
36,36
36,42
42,41
41,49
55,55
55,58
58,60
60,66
70,78
78,81
97,99
99,106
106,109
109,121
121,124
124,134
134,141
141,154
154,157
157,167
167,172
172,186
19,18
21,24
24,25
28,30
30,34
38,41
41,47
47,46
46,49
49,56
57,62
62,70
74,76
76,83
83,86
86,92
92,101
101,108
108,115
115,123
123,128
128,139
139,150
150,154
154,164
164,177
177,187
187,199
199,212
212,225
225,239
239,255
255,267
17,17
21,20
29,34
37,41
50,54
54,64
64,64
64,74
76,88
88,95
95,104
111,128
128,130
130,141
141,153
153,169
169,179
179,199
212,235
235,244
244,266
266,282
282,313
313,330
330,361
361,383
383,423
423,447
447,483
483,515
515,561
561,589
26,30
40,48
75,84
84,91
91,101
108,120
120,131
131,145
145,154
154,170
170,188
188,208
208,222
222,248
248,264
264,294
294,318
318,348
348,378
378,417
417,450
450,490
490,529
529,576
576,622
622,680
680,732
732,795
795,858
858,926
926,997
997,1080
1080,1160
6,48
48,496
496,6240
6240,91776
91776,1537088
1537088,28798464
28798464,595955520
595955520,13491708800
13491708800,331623830208
331623830208,8795579682048
8795579682048,250414554029120
250414554029120,7618664812010112
7618664812010112,246723028123216320
246723028123216320,8474819292528368640
8474819292528368640,307805848056790016832
307805848056790016832,11787380650768137830784
11787380650768137830784,474716135626387606640832
474716135626387606640832,20058947200327244710705920
24,34
13,12
12,16
16,11
11,34
34,17
29,89
89,18
37,233
233,31
23,51
51,33
42,610
610,44
44,41
41,59
61,71
71,43
43,48
48,1597
1597,47
49,67
67,64
74,79
79,87
87,53
53,4181
4181,81
81,57
57,70
75,77
77,85
85,95
95,97
97,58
58,10946
10946,115
115,60
60,73
73,83
83,80
80,101
21,19
25,17
17,55
55,27
27,30
30,43
46,144
144,29
29,35
35,45
45,51
51,59
59,377
377,50
50,37
37,82
82,53
53,61
67,987
987,71
71,66
66,95
95,98
114,69
69,77
77,2584
2584,76
76,79
79,108
108,103
103,119
127,140
140,85
85,6765
6765,131
131,92
92,113
113,121
124,137
137,153
156,93
93,17711
17711,186
186,97
97,118
118,134
5,21
21,10
55,11
14,31
31,20
20,144
144,19
36,39
39,23
23,377
377,27
30,41
41,46
47,26
26,987
987,29
35,43
51,49
49,52
52,65
65,2584
2584,50
37,45
53,59
59,62
62,73
73,68
68,6765
6765,71
66,82
82,98
98,61
75,78
78,89
89,17711
17711,76
79,95
95,103
103,114
7,13
9,34
28,89
33,233
31,41
59,64
64,38
38,610
44,49
77,43
43,1597
47,57
70,83
80,85
85,106
106,4181
81,60
73,86
86,96
96,101
119,111
111,10946
115,107
107,133
133,159
159,99
99,109
109,122
122,127
127,145
145,28657
28657,123
128,154
154,167
167,185
185,112
112,125
125,135
135,148
153,75025
75025,212
212,149
149,175
175,196
196,193
193,206
206,211
211,138
138,151
161,174
13,11
21,18
18,14
17,27
23,34
34,29
29,19
22,30
30,29
29,37
37,26
26,55
55,47
47,23
25,33
33,31
31,39
49,89
89,76
76,31
31,27
43,32
32,41
53,52
52,144
144,123
123,37
37,28
28,49
49,36
48,65
65,58
63,233
233,199
199,50
50,35
35,53
53,38
38,51
51,61
71,68
68,79
79,89
1,17
17,237
237,3497
3497,58237
58237,1104261
1104261,23676237
23676237,568261317
568261317,15119327517
15119327517,442065987217
442065987217,14096919853013
14096919853013,487072495995537
487072495995537,18130790565917117
18130790565917117,723480290047622797
723480290047622797,30811812079135831197
30811812079135831197,1395085912631686052301
1395085912631686052301,66922971714793668780477
66922971714793668780477,3390739311328091468712537
7,27
27,0
4,12
60,387
387,0
18,100
100,837
837,7317
7317,0
6,25
25,148
148,1359
1359,15570
15570,168237
168237,0
7,33
33,205
205,1963
1963,24867
24867,354159
354159,4503789
4503789,0
8,42
42,272
272,2660
2660,35328
35328,559440
559440,9408852
9408852,136727055
136727055,0
9,52
52,350
350,3462
3462,47086
47086,785916
785916,14747022
14747022,284015997
284015997,4625789067
4625789067,0
15,1254
1254,35
35,124410
124410,1785
