Source,Target
449240740,883570480
883570480,1738769611
1738769611,3423469891
3423469891,6743730746
1,-2
-2,3
3,-3
-3,3
3,-5
-5,7
7,-6
-6,6
6,-10
-10,12
12,-11
-11,13
13,-17
-17,20
20,-21
-21,21
21,-27
-27,34
34,-33
-33,36
36,-46
-46,51
51,-53
-53,58
58,-68
-68,78
78,-82
-82,89
89,-104
-104,118
118,-123
-123,131
131,-154
-154,171
171,-179
-179,197
197,-221
-221,245
245,-262
-262,279
279,-314
-314,349
349,-369
-369,398
398,-446
-446,486
486,-515
-515,557
557,-614
-614,671
671,-715
-715,767
767,-845
-845,920
920,-977
-977,1046
1046,-1148
-1148,1244
7,6
15,8
8,17
17,12
12,19
19,20
20,21
21,22
22,23
23,18
18,10
10,26
26,9
9,28
28,29
29,30
30,31
31,10
10,33
33,34
34,35
35,24
24,37
37,38
38,39
39,30
30,41
41,42
42,43
43,44
44,30
30,46
46,47
47,24
24,14
14,20
20,51
51,52
52,53
53,18
18,55
55,42
42,57
57,58
58,59
59,60
60,61
61,62
62,42
42,12
12,65
65,66
66,67
67,68
68,69
69,70
70,71
71,36
18,19
23,24
24,25
25,26
26,27
27,28
32,33
35,36
36,37
39,40
40,41
44,45
45,46
47,48
48,49
49,50
50,51
53,54
54,55
55,56
56,57
62,63
63,64
64,65
71,72
72,73
73,74
74,75
75,76
76,77
7,9
25,29
31,37
37,40
54,56
56,59
61,66
67,70
73,78
78,79
79,81
81,83
83,84
84,88
88,89
89,90
90,96
96,97
97,101
101,102
102,103
103,104
104,105
105,107
107,108
108,109
109,110
110,113
113,114
114,121
121,126
126,127
127,128
128,130
130,131
131,132
132,135
135,136
136,137
13,18
18,30
46,78
78,126
126,224
224,380
380,687
687,1224
1224,2250
2250,4112
4112,7685
7685,14310
14310,27012
27012,50964
50964,96909
96909,184410
184410,352698
352698,675188
675188,1296858
1296858,2493726
2493726,4806078
4806078,9272780
9272780,17920860
17920860,34669602
34669602,67159050
67159050,130216124
130216124,252745368
252745368,490984488
490984488,954637558
954637558,1857545300
9,1
8,14
36,60
60,108
108,188
188,352
352,632
632,1182
1182,2192
2192,4116
4116,7712
7712,14602
14602,27596
27596,52488
52488,99880
99880,190746
190746,364724
364724,699252
699252,1342184
1342184,2581428
2581428,4971068
4971068,9587580
9587580,18512792
18512792,35792568
35792568,69273668
69273668,134219796
134219796,260301176
260301176,505294128
505294128,981706832
1,3
11,18
18,29
29,47
47,76
76,123
123,199
199,322
322,521
521,843
843,1364
1364,2207
2207,3571
3571,5778
5778,9349
9349,15127
15127,24476
24476,39603
39603,64079
64079,103682
103682,167761
167761,271443
271443,439204
439204,710647
710647,1149851
1149851,1860498
1860498,3010349
3010349,4870847
4870847,7881196
7881196,12752043
12752043,20633239
20633239,33385282
33385282,54018521
54018521,87403803
40,210
210,1477
1477,11672
11672,104256
104256,1036050
1036050,11338855
11338855,135494844
135494844,1755206648
1755206648,24498813794
24498813794,366526605705
366526605705,5851140525680
5851140525680,99271367764480
99271367764480,1783734385752162
1783734385752162,33837677493828171
33837677493828171,675799125332580020
675799125332580020,14173726082929399560
14173726082929399560,311462297063636041906
3,5
6,-6
-6,7
10,13
14,-17
-17,17
18,-19
-19,20
20,-22
-22,23
23,27
27,-29
-29,-29
-29,29
29,-31
-31,-32
-32,-35
-35,36
36,-37
-37,-40
-40,-43
-43,-46
-46,-48
-48,-50
-50,-53
-53,-55
-55,-57
-57,-60
-60,-60
-60,-61
-61,-63
-63,-66
-66,-66
-66,-68
-68,-71
-71,-74
-74,-77
-77,-79
-79,-82
-82,-85
-85,-88
-88,-89
-89,-92
-92,-95
-95,-96
-96,-97
-97,-97
-97,-100
15,17
24,26
35,37
48,50
63,65
77,78
79,80
80,82
82,83
84,85
85,86
86,87
87,88
90,91
91,92
92,93
93,94
94,95
95,96
97,98
98,99
2,0
-2,-3
-3,-5
-5,-6
-6,-10
-10,-11
-11,-17
-17,-21
-21,-27
-27,-33
-33,-46
-46,-53
-53,-68
-68,-82
-82,-104
-104,-123
-123,-154
-154,-179
-179,-221
-221,-262
-262,-314
-314,-369
-369,-446
-446,-515
-515,-614
-614,-715
-715,-845
-845,-977
-977,-1148
-1148,-1321
-1321,-1544
-1544,-1778
-1778,-2060
-2060,-2361
-2361,-2736
-2736,-3121
-3121,-3592
-3592,-4097
-4097,-4696
-4696,-5340
-5340,-6105
-6105,-6916
-6916,-7882
-7882,-8919
-8919,-10123
-10123,-11429
-11429,-12952
-12952,-14580
13,17
23,29
47,53
61,67
73,79
79,83
83,89
89,97
101,103
103,107
107,109
109,113
113,127
127,131
131,137
137,139
139,149
149,151
151,157
157,163
163,167
167,173
173,179
179,181
181,191
191,193
193,197
197,199
199,211
211,223
223,227
227,229
229,233
233,239
239,241
241,251
251,257
257,263
263,269
269,271
11,15
15,22
22,30
30,42
42,56
56,77
77,101
101,135
135,176
176,231
231,297
297,385
385,490
490,627
627,792
792,1002
1002,1255
1255,1575
1575,1958
1958,2436
2436,3010
3010,3718
3718,4565
4565,5604
5604,6842
6842,8349
8349,10143
10143,12310
12310,14883
14883,17977
17977,21637
21637,26015
26015,31185
31185,37338
37338,44583
44583,53174
53174,63261
63261,75175
75175,89134
89134,105558
105558,124754
124754,147273
147273,173525
1,11
11,111
111,1111
1111,11111
11111,111111
111111,1111111
1111111,11111111
11111111,111111111
111111111,1111111111
1111111111,11111111111
11111111111,111111111111
111111111111,1111111111111
1111111111111,11111111111111
11111111111111,111111111111111
111111111111111,1111111111111111
1111111111111111,11111111111111111
11111111111111111,111111111111111111
111111111111111111,1111111111111111111
1111111111111111111,11111111111111111111
7,13
19,31
31,61
61,89
89,107
107,127
127,521
521,607
607,1279
1279,2203
2203,2281
2281,3217
3217,4253
4253,4423
4423,9689
9689,9941
9941,11213
11213,19937
19937,21701
21701,23209
23209,44497
44497,86243
86243,110503
110503,132049
132049,216091
216091,756839
756839,859433
859433,1257787
1257787,1398269
1398269,2976221
2976221,3021377
3021377,6972593
6972593,13466917
13466917,20996011
20996011,24036583
24036583,25964951
25964951,30402457
30402457,32582657
32582657,37156667
37156667,42643801
42643801,43112609
43112609,57885161
57885161,74207281
74207281,77232917
13,21
21,34
34,55
55,89
89,144
144,232
232,375
375,606
606,979
979,1582
1582,2556
2556,4130
4130,6673
6673,10782
10782,17421
17421,28148
28148,45480
45480,73484
73484,118732
118732,191841
191841,309967
309967,500829
500829,809214
809214,1307487
1307487,2112571
2112571,3413385
3413385,5515174
5515174,8911138
8911138,14398164
14398164,23263822
23263822,37588502
37588502,60733592
60733592,98130253
98130253,158553878
158553878,256183302
256183302,413927966
413927966,668803781
668803781,1080619176
1080619176,1746009572
1746009572,2821113574
2821113574,4558212008
144,233
233,377
377,610
610,987
987,1597
1597,2584
2584,4181
4181,6765
6765,10946
10946,17711
17711,28657
28657,46368
46368,75025
75025,121393
121393,196418
196418,317811
317811,514229
514229,832040
832040,1346269
1346269,2178309
2178309,3524578
3524578,5702887
5702887,9227465
9227465,14930352
14930352,24157817
24157817,39088169
39088169,63245986
63245986,102334155
14,21
21,39
39,62
62,112
112,189
189,352
352,607
607,1144
1144,2055
2055,3885
3885,7154
7154,13602
13602,25472
25472,48670
48670,92204
92204,176770
176770,337590
337590,649341
649341,1246840
1246840,2404872
2404872,4636389
4636389,8964143
8964143,17334800
17334800,33587072
33587072,65107998
65107998,126387975
126387975,245492232
245492232,477349348
477349348,928772649
928772649,1808669170
1808669170,3524337789
3524337789,6872471442
8,15
15,26
26,48
48,87
87,161
161,299
299,563
563,1066
1066,2030
2030,3885
3885,7464
7464,14384
14384,27779
27779,53782
53782,104359
104359,202838
202838,394860
394860,769777
769777,1502603
1502603,2936519
2936519,5744932
5744932,11249805
11249805,22048769
22048769,43248623
43248623,84894767
84894767,166758141
166758141,327770275
327770275,644627310
644627310,1268491353
1268491353,2497412741
5,9
9,16
16,28
28,51
51,93
93,170
170,315
315,585
585,1091
1091,2048
2048,3855
3855,7280
7280,13797
13797,26214
26214,49929
49929,95325
95325,182361
182361,349520
349520,671088
671088,1290555
1290555,2485504
2485504,4793490
4793490,9256395
9256395,17895679
17895679,34636833
34636833,67108864
67108864,130150493
130150493,252645135
252645135,490853403
490853403,954437120
954437120,1857283155
16,29
29,53
53,98
98,181
181,341
341,640
640,1218
1218,2321
2321,4449
4449,8546
8546,16482
16482,31845
31845,61707
61707,119760
119760,232865
232865,453511
453511,884493
884493,1727125
1727125,3376376
3376376,6607207
6607207,12941838
12941838,25371086
25371086,49776945
49776945,97730393
97730393,192009517
192009517,377473965
377473965,742511438
742511438,1461351029
1461351029,2877568839
2877568839,5668961811
29,54
54,97
97,180
180,337
337,633
633,1197
1197,2280
2280,4357
4357,8363
8363,16096
16096,31064
31064,60108
60108,116555
116555,226419
226419,440616
440616,858696
858696,1675603
1675603,3273643
3273643,6402706
6402706,12534812
12534812,24561934
24561934,48168461
48168461,94534626
94534626,185661958
185661958,364869032
364869032,717484560
717484560,1411667114
1411667114,2778945873
2778945873,5473203125
17,33
33,65
65,129
129,257
257,513
513,1025
1025,2049
2049,4097
4097,8193
8193,16385
16385,32769
32769,65537
65537,131073
131073,262145
262145,524289
524289,1048577
1048577,2097153
2097153,4194305
4194305,8388609
8388609,16777217
16777217,33554433
33554433,67108865
67108865,134217729
134217729,268435457
268435457,536870913
536870913,1073741825
1073741825,2147483649
2147483649,4294967297
4294967297,8589934593
8,5
1,7
0,18
18,80
80,88
88,85
85,84
84,89
89,81
81,87
87,86
86,83
83,82
82,11
15,50
50,58
58,55
55,54
54,59
59,51
51,57
57,56
56,53
53,52
52,40
40,48
48,45
45,44
44,49
49,41
41,47
47,46
46,43
43,42
42,14
14,19
19,90
90,98
98,95
95,94
94,99
99,91
91,97
97,96
96,93
93,92
92,17
17,70
70,78
78,75
75,74
74,79
79,71
71,77
77,76
76,73
73,72
14,18
23,28
28,34
34,42
42,50
50,59
59,66
66,72
72,79
79,86
86,96
96,103
103,110
110,116
116,125
125,137
137,145
145,157
157,168
168,181
191,207
207,215
215,225
225,231
231,238
238,242
4,14
14,23
23,34
59,72
72,81
81,86
125,135
135,145
145,155
155,163
163,168
168,175
175,181
181,190
190,200
200,207
6,11
11,23
23,47
47,106
106,235
235,551
551,1301
1301,3159
3159,7741
7741,19320
19320,48629
48629,123867
123867,317955
317955,823065
823065,2144505
2144505,5623756
5623756,14828074
14828074,39299897
39299897,104636890
104636890,279793450
279793450,751065460
751065460,2023443032
2023443032,5469566585
5469566585,14830871802
14830871802,40330829030
40330829030,109972410221
109972410221,300628862480
300628862480,823779631721
823779631721,2262366343746
2262366343746,6226306037178
6,24
24,48
48,120
120,144
144,336
336,384
384,648
648,720
720,1320
1320,1152
1152,2184
2184,2016
2016,2880
2880,3072
3072,4896
4896,3888
3888,6840
6840,5760
5760,8064
8064,7920
7920,12144
12144,9216
9216,15000
15000,13104
13104,17496
17496,16128
16128,24360
24360,17280
17280,29760
29760,24576
24576,31680
31680,29376
29376,40320
40320,31104
31104,50616
50616,41040
41040,52416
52416,46080
46080,68880
68880,48384
48384,79464
3,7
7,23
23,43
43,67
67,83
83,103
103,127
127,163
167,223
227,283
283,367
367,383
383,443
443,463
463,467
467,487
487,503
503,523
523,547
547,587
587,607
607,643
643,647
647,683
683,727
727,787
787,823
823,827
827,863
863,883
883,887
887,907
907,947
947,983
983,1063
1063,1123
1123,1163
1163,1187
1187,1283
1283,1303
1303,1327
1327,1367
1367,1423
1423,1447
1447,1487
1487,1543
1543,1567
1567,1583
7,43
43,1807
1807,3263443
3263443,10650056950807
10650056950807,113423713055421844361000443
113423713055421844361000443,12864938683278671740537145998360961546653259485195807
12,14
14,17
17,23
24,27
28,37
41,44
45,53
66,70
77,80
82,87
87,90
90,97
97,99
99,102
102,105
105,110
110,114
114,119
119,121
121,124
124,127
127,133
133,136
136,138
138,139
139,144
144,148
148,156
156,160
160,164
164,167
167,170
170,176
176,182
182,187
187,207
215,218
218,221
221,233
233,236
236,238
238,244
244,246
3,10
10,27
27,98
98,350
350,1402
1402,5743
5743,24742
24742,108968
108968,492638
492638,2266502
2266502,10600510
10600510,50235931
50235931,240882152
240882152,1166732814
1166732814,5702046382
5702046382,28088787314
28088787314,139355139206
139355139206,695808554300
695808554300,3494391117164
3494391117164,17641695461662
17641695461662,89495028762682
89495028762682,456009893224285
456009893224285,2332997356507678
2332997356507678,11980753878699716
11980753878699716,61739654456234062
61739654456234062,319188605907760846
14,16
20,20
24,32
24,30
30,38
38,32
32,40
40,46
46,40
60,50
50,54
64,60
60,68
68,80
80,64
64,72
72,92
92,76
76,96
96,100
100,82
82,104
104,112
112,96
96,108
108,126
126,112
112,120
120,148
148,112
112,128
128,168
168,130
130,156
160,140
140,162
162,184
184,160
160,168
168,198
198,170
170,192
192,220
220,168
168,192
13,15
16,18
20,22
30,32
34,36
38,40
45,47
52,54
55,57
62,64
66,68
69,71
73,75
77,79
84,86
87,89
91,93
94,96
5,14
14,39
39,42
42,132
132,132
132,424
424,429
429,1428
1428,1430
1430,4848
4848,4862
4862,16796
16796,16796
16796,58739
58739,58786
58786,208012
208012,208012
208012,742768
742768,742900
742900,2674426
2674426,2674440
2674440,9694416
9694416,9694845
9694845,35357670
35357670,35357670
35357670,129643318
129643318,129644790
129644790,477638700
477638700,477638700
477638700,1767258328
1767258328,1767263190
1767263190,6564120288
9,13
24,31
31,39
39,50
50,62
62,77
77,93
93,112
112,134
134,159
159,187
187,218
218,252
252,292
292,335
335,384
384,436
436,494
494,558
558,628
628,704
704,786
786,874
874,972
972,1076
1076,1190
1190,1310
1310,1440
1440,1580
1580,1730
1730,1890
1890,2060
2060,2240
2240,2435
2435,2640
2640,2860
2860,3090
3090,3335
3335,3595
3595,3870
3870,4160
4160,4465
4465,4785
4785,5126
21,29
29,41
41,55
55,76
76,100
100,134
134,175
175,230
230,296
296,384
384,489
489,626
626,791
791,1001
1001,1254
1254,1574
1574,1957
1957,2435
2435,3009
3009,3717
3717,4564
4564,5603
5603,6841
6841,8348
8348,10142
10142,12309
12309,14882
14882,17976
17976,21636
21636,26014
26014,31184
31184,37337
37337,44582
44582,53173
53173,63260
63260,75174
75174,89133
89133,105557
105557,124753
14,24
30,58
58,70
70,112
112,126
10,18
18,33
33,60
60,111
111,205
205,385
385,725
725,1374
1374,2610
2610,4993
4993,9578
9578,18426
18426,35568
35568,68806
68806,133411
133411,259145
259145,504222
504222,982538
982538,1917190
1917190,3745385
3745385,7324822
7324822,14339072
14339072,28095711
28095711,55095559
55095559,108124461
108124461,212342327
212342327,417283564
417283564,820520378
820520378,1614331755
1614331755,3177789615
3177789615,6258525127
6,16
24,28
34,46
46,48
48,54
56,74
74,80
88,90
90,106
106,118
118,132
132,140
140,142
142,154
154,160
164,174
174,180
180,194
194,198
198,204
204,210
210,220
220,228
228,238
242,248
248,254
254,266
266,272
272,276
276,278
278,288
288,296
296,312
312,320
320,328
328,334
334,340
340,352
352,364
364,374
374,414
414,430
430,436
436,442
442,466
19,21
26,28
32,35
38,41
42,44
44,47
50,52
52,55
67,69
70,73
74,76
76,79
81,82
82,84
84,87
88,91
94,97
98,100
100,103
104,107
110,112
112,115
115,117
117,118
118,121
121,122
122,124
7,12
19,30
30,45
45,67
67,97
97,139
139,195
195,272
272,373
373,508
508,684
684,915
915,1212
1212,1597
1597,2087
2087,2714
2714,3506
3506,4508
4508,5763
5763,7338
7338,9296
9296,11732
11732,14742
14742,18460
18460,23025
23025,28629
28629,35471
35471,43820
43820,53963
53963,66273
66273,81156
81156,99133
99133,120770
120770,146785
146785,177970
177970,215308
215308,259891
259891,313065
313065,376326
376326,451501
12,20
20,33
33,54
54,88
88,143
143,232
232,376
376,609
609,986
986,1596
1596,2583
2583,4180
4180,6764
6764,10945
10945,17710
17710,28656
28656,46367
46367,75024
75024,121392
121392,196417
196417,317810
317810,514228
514228,832039
832039,1346268
1346268,2178308
2178308,3524577
3524577,5702886
5702886,9227464
9227464,14930351
14930351,24157816
24157816,39088168
39088168,63245985
63245985,102334154
12,22
22,41
41,72
72,137
137,254
254,476
476,901
901,1716
1716,3274
3274,6286
6286,12090
12090,23331
23331,45140
45140,87511
87511,169972
169972,330752
330752,644499
644499,1257523
1257523,2456736
2456736,4804666
4804666,9405749
9405749,18429828
18429828,36141339
36141339,70928099
70928099,139295793
139295793,273741700
273741700,538277486
538277486,1059051586
1059051586,2084763319
2084763319,4105924366
13,24
24,44
44,81
81,149
149,274
274,504
504,927
927,1705
1705,3136
3136,5768
5768,10609
10609,19513
19513,35890
35890,66012
66012,121415
121415,223317
223317,410744
410744,755476
755476,1389537
1389537,2555757
2555757,4700770
4700770,8646064
8646064,15902591
15902591,29249425
29249425,53798080
53798080,98950096
98950096,181997601
181997601,334745777
334745777,615693474
615693474,1132436852
25,43
43,83
83,157
157,296
296,564
564,1083
1083,2077
2077,4006
4006,7733
7733,14968
14968,29044
29044,56447
56447,109864
109864,214197
214197,418080
418080,816907
816907,1598040
1598040,3129063
3129063,6132106
6132106,12027122
12027122,23606527
23606527,46366165
46366165,91127332
91127332,179207074
179207074,352615528
352615528,694182554
694182554,1367278759
7,14
23,42
42,76
76,139
139,258
258,482
482,907
907,1717
1717,3269
3269,6257
6257,12020
12020,23171
23171,44762
44762,86683
86683,168233
168233,327053
327053,636837
636837,1241723
1241723,2424228
2424228,4738426
4738426,9271299
9271299,18157441
18157441,35591647
35591647,69820626
69820626,137068908
137068908,269270450
269270450,529312241
529312241,1041093048
1041093048,2048825748
2048825748,4034059456
24,43
43,82
82,149
149,284
284,534
534,1015
1015,1937
1937,3713
3713,7136
7136,13759
13759,26597
26597,51537
51537,100045
100045,194586
194586,378987
378987,739161
739161,1443465
1443465,2821923
2821923,5522689
5522689,10818037
10818037,21208747
21208747,41612533
41612533,81704494
81704494,160531078
160531078,315602635
315602635,620831732
620831732,1221915127
1221915127,2406177404
2406177404,4740454046
4740454046,9343415302
9343415302,18423548106
18423548106,36342329321
24,42
76,140
140,257
257,483
483,907
1717,3272
3272,6261
6261,12027
12027,23172
23172,44769
44769,86708
86708,168245
168245,327073
327073,636849
636849,1241720
1241720,2424290
2424290,4738450
4738450,9271396
9271396,18157630
18157630,35591729
35591729,69820804
69820804,137069245
137069245,269270791
269270791,529312776
529312776,1041093937
1041093937,2048826229
2048826229,4034062310
15,29
29,56
56,108
108,208
208,401
401,773
773,1490
1490,2872
2872,5536
5536,10671
10671,20569
20569,39648
39648,76424
76424,147312
147312,283953
283953,547337
547337,1055026
1055026,2033628
2033628,3919944
3919944,7555935
7555935,14564533
14564533,28074040
28074040,54114452
54114452,104308960
104308960,201061985
201061985,387559437
387559437,747044834
747044834,1439975216
1439975216,2775641472
16,32
32,64
64,128
128,256
256,512
512,1024
1024,2048
2048,4096
4096,8192
8192,16384
16384,32768
32768,65536
65536,131072
131072,262144
262144,524288
524288,1048576
1048576,2097152
2097152,4194304
4194304,8388608
8388608,16777216
16777216,33554432
33554432,67108864
67108864,134217728
134217728,268435456
268435456,536870912
536870912,1073741824
1073741824,2147483648
2147483648,4294967296
4294967296,8589934592
8589934592,17179869184
9,19
19,48
48,117
117,307
307,821
821,2277
2277,6437
6437,18634
18634,54775
54775,163703
163703,495529
495529,1518706
1518706,4703848
4703848,14714754
14714754,46444979
46444979,147832051
147832051,474229588
474229588,1532565644
20,48
48,115
115,286
286,719
719,1842
1842,4766
4766,12486
12486,32973
32973,87811
87811,235381
235381,634847
634847,1721159
1721159,4688676
4688676,12826228
12826228,35221832
35221832,97055181
97055181,268282855
268282855,743724984
743724984,2067174645
2067174645,5759636510
5759636510,16083734329
16083734329,45007066269
45007066269,126186554308
126186554308,354426847597
354426847597,997171512998
6,12
12,24
30,72
72,56
56,96
108,180
180,132
132,288
288,182
182,336
336,360
360,384
384,306
306,648
648,380
380,720
720,672
672,792
792,552
552,1152
1152,750
750,1092
1092,972
972,1344
1344,870
870,2160
2160,992
992,1536
1536,1584
1584,1836
1836,1680
1680,2592
2592,1406
1406,2280
2280,2184
2184,2880
2880,1722
1722,4032
4032,1892
1892,3168
3168,3240
3240,3312
3312,2256
9,23
23,63
63,188
188,596
596,1979
1979,6804
6804,24118
24118,87379
87379,322652
322652,1209808
1209808,4596158
4596158,17657037
17657037,68497898
68497898,268006183
268006183,1056597059
1056597059,4193905901
4193905901,16748682185
16748682185,67258011248
67258011248,271452424286
271452424286,1100632738565
1100632738565,4481533246014
4481533246014,18319020658537
18319020658537,75152228262785
75152228262785,309337095953934
10,24
24,66
66,180
180,522
522,1532
1532,4624
4624,14136
14136,43930
43930,137908
137908,437502
437502,1399068
1399068,4507352
4507352,14611576
14611576,47633486
47633486,156047204
156047204,513477502
513477502,1696305728
1696305728,5623993944
5623993944,18706733128
18706733128,62408176762
62408176762,208769240140
208769240140,700129713630
700129713630,2353386723912
26,76
76,232
232,764
764,2620
2620,9496
9496,35696
35696,140152
140152,568504
568504,2390480
2390480,10349536
10349536,46206736
46206736,211799312
211799312,997313824
997313824,4809701440
4809701440,23758664096
23758664096,119952692896
119952692896,618884638912
618884638912,3257843882624
3257843882624,17492190577600
17492190577600,95680443760576
95680443760576,532985208200576
532985208200576,3020676745975552
0,4
4,0
10,37
37,138
138,628
628,2972
2972,14903
14903,76994
76994,409594
409594,2222628
2222628,12281570
12281570,68864086
